FinancialYear,Componend,Description,Quantity,UnitPrice,TotalPrice,ProductType,CusGroup,CustomerName,Date,Division,UnitofMeasure,Supplier,CATNo,Cluster,ProductGroup,Region,SalesPersonCode,CusType
2017-2018,02_ACHIVE,UPSONLINE3KVA,1,0,0,INS,GVT,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,MED,PCS,ASSIDUATECHNOLOGIES(PVT)LTD,UPS-3KVA-UPS,MED-CLUSTER-01A,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,NUTRIENTAGAR500G,2,6084.26,12168.52,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M001-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,NUTRIENTBROTH500G,2,5332.32,10664.64,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M002-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,XYLOSE-LYSINEDEOXYCHOLATEAGAR(XLDAGAR)500G,1,7367.63,7367.63,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M031-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,KLIGLERIRONAGAR500G,1,6749.45,6749.45,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M078-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"MACCONKEYAGARW/OCV,NACLW/BILESALTS0.5%",8,6594,52752,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M082A-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,MA-CONKEYAGAR(WITHCRYSTALVIOLET),1,6326.48,6326.48,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M1582-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,BRAINHEARTINFUSIONBROTH500G,1,6857.9,6857.9,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M210-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"DNASETESTAGARBASE,500G",1,15223.31,15223.31,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M482-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"BILESALTAGAR,100G",1,3297,3297,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M739-100G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,BLOODAGARBASENO2500G,8,6857.9,54863.2,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M834-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,"BILEESCULINAGAR,500G",1,17168,17168,CON,GVT,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,MED,PCS,HIMEDIALABORATORIESPVT.LTD.,M972-500G,MED-CLUSTER-01A,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,AMYLASE(IFCC)8*5ML,1,10878.88,10878.88,CON,GVT,UNIVERSITYOFSRIJAYAWARDENAPURA-FAMILYPRACTICECENTER,6/14/2017,MED,PACK,THERMOELECTRONOY,981770,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,CRP1x3ML,2,24669.75,49339.5,CON,GVT,UNIVERSITYOFSRIJAYAWARDENAPURA-FAMILYPRACTICECENTER,6/14/2017,MED,PACK,THERMOELECTRONOY,981933,MED-CLUSTER-01A,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,02_ACHIVE,KF+NA2EDTAFOR2.5MLOFBLOODINTESTTUBE12X86,2000,6.6957,13391.4,CON,GVT,TEACHINGHOSPITAL-BATTICALOA,4/27/2017,MED,PCS,VACUTESTKIMAS.R.L.,18506,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,3,11630,34890,CON,GVT,TEACHINGHOSPITAL-BATTICALOA,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,02_ACHIVE,KF+NA2EDTAFOR2.5MLOFBLOODINTESTTUBE12X86,5000,6.6957,33478.5,CON,GVT,TEACHINGHOSPITAL-BATTICALOA,6/2/2017,MED,PCS,VACUTESTKIMAS.R.L.,18506,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,02_ACHIVE,CRP,1,39013.18,39013.18,CON,GVT,GENERALHOSPITAL-BADULLA,4/6/2017,MED,PACK,THERMOELECTRONOY,981699,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,1,12472.47,12472.47,CON,GVT,GENERALHOSPITAL-BADULLA,4/6/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,ALT/GPT(IFCC)7x50ML,1,13483.92,13483.92,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981361,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC)*7x50ML,2,13483.92,26967.84,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981363,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CREATINIEN,3,8499.7,25499.1,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981810,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,UREA10X60ML,2,20983.28,41966.56,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981818,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,MAGNESIUM12*20ML,1,6030.61,6030.61,CON,GVT,GENERALHOSPITAL-BADULLA,4/7/2017,MED,PACK,THERMOELECTRONOY,981884,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GVT,GENERALHOSPITAL-BADULLA,4/25/2017,MED,PACK,THERMOELECTRONOY,981809,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GVT,GENERALHOSPITAL-BADULLA,4/25/2017,MED,PACK,THERMOELECTRONOY,981809,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CRP,1,39013.18,39013.18,CON,GVT,GENERALHOSPITAL-BADULLA,4/25/2017,MED,PACK,THERMOELECTRONOY,981699,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,"CONDITIONER,NaELECTRODEAVL98X-91XX-100ML",7,4215.713,29509.99,CON,GVT,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,MED,PCS,DIAMONDDIAGNOSTICSINC.,AV-BP0380D,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,SOLUTIONCLEANINGAAVL91XX-100ML,6,4215.713,25294.28,CON,GVT,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,MED,PCS,DIAMONDDIAGNOSTICSINC.,AV-BP1025D,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,MICROALBUMINETURBIDIMETRICIMMUNOASSY,9,11431,102879,CON,GVT,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,MED,PACK,BIOLABOSAS,23010,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,SCAL3MLX10,2,12473.21,24946.42,CON,GVT,OFFICEOFREGIONALDIRECTOROFHEALTHSERVICES-BADULLA,4/27/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GVT,GENERALHOSPITAL-BADULLA,5/15/2017,MED,PACK,THERMOELECTRONOY,981809,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,02_ACHIVE,CALCIUM8x20ML,2,8937.2522,17874.5,CON,GVT,TEACHINGHOSPITAL-KARAPITIYA,4/4/2017,MED,PACK,THERMOELECTRONOY,981772,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,02_ACHIVE,SCAL3MLX10VL,1,11761.2696,11761.27,CON,GVT,TEACHINGHOSPITAL-KARAPITIYA,4/19/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,02_ACHIVE,PHOSPHORUS6*18ML,1,7680.7474,7680.75,CON,GVT,TEACHINGHOSPITAL-KARAPITIYA,4/19/2017,MED,PACK,THERMOELECTRONOY,981890,MED-CLUSTER-02,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,02_ACHIVE,NOTROL-5MLX10VL,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981043,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,ABTROL5MLX10VL,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981044,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,ALT/GPT(IFCC)8*20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981769,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,AST/GOT(IFCC),2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981771,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,CALCIUM8x20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981772,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,URICACID(AOX)8x20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981788,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,CHOLESTEROL12X20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981813,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,UREA12x20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981820,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,ECAL3MLX5VL,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981830,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,SCAL3MLX10VL,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981831,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,ALP(IFCC)PLUS15x5ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981832,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,WASHFLUID8x20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981842,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,CREATININEENZYMATIC4X30ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981896,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,BILLIRUBINTOTAL(NBD)4x20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,981897,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,02_ACHIVE,WASHINGSOLUTION4.5%_4X20ML,2,0,0,CON,GVT,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,MED,PACK,THERMOELECTRONOY,984030,MED-CLUSTER-03,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
