FinancialYear,Description,Quantity,UnitPrice,TotalPrice,ProductType,CustomerName,Date,UnitofMeasure,Supplier,CATNo,ProductGroup,Region,SalesPersonCode,CusType
2017-2018,REAGENTBOTTLECAP(RED),4,16,64,CON,DISTRICTGENERALHOSPITAL-MATALE,4/5/2017,PCS,BIOMEDICA(PVT)LTD,BA31-20-41640,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,GAMMAGT10X10ML,5,17052,85260,CON,TEACHINGHOSPITAL-KANDY,4/5/2017,PACK,BIOLABOSAS,81210,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,CK-NAC(IFCC)20X3ML,5,19901.7391,99508.7,CON,TEACHINGHOSPITAL-KANDY,4/5/2017,PACK,BIOLABOSAS,92207,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BIOLABOEXATROL-N(NORMALLEVEL)10x5ML,10,27236.2609,272362.61,CON,TEACHINGHOSPITAL-KANDY,4/5/2017,PACK,BIOLABOSAS,95010,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BIOLABOEXATROL-P(PATHOLOGICALLEVEL)10X5ML,4,8378.4087,33513.63,CON,TEACHINGHOSPITAL-KANDY,4/5/2017,PACK,BIOLABOSAS,95011,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BIOLABOPAEDIATRICCONTROL3X3ML,10,19663.6348,196636.35,CON,TEACHINGHOSPITAL-KANDY,4/5/2017,PACK,BIOLABOSAS,95403,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,SCAL3MLX10,3,11761.6174,35284.85,CON,TEACHINGHOSPITAL-KANDY,4/27/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,WASHFLUID8x20ML,3,7101.7391,21305.22,CON,TEACHINGHOSPITAL-KANDY,4/27/2017,PACK,THERMOELECTRONOY,981842,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,BICARBONATE4x4ML,32,17386.5043,556368.14,CON,TEACHINGHOSPITAL-KANDY,4/27/2017,PACK,THERMOELECTRONOY,981888,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,SCAL3MLX10,3,12473.2087,37419.63,CON,TEACHINGHOSPITAL-PERADENIYA,4/27/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,SCAL3MLX10,4,11761.6174,47046.47,CON,TEACHINGHOSPITAL-KANDY,4/27/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,ISEPRIMESERUM10x5ML,2,9411,18822,CON,TEACHINGHOSPITAL-KANDY,4/27/2017,PACK,THERMOELECTRONOY,981990,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,"CLEANINGSOLUTION,ACID100ML(formindray)BS300",5,735,3675,CON,DISTRICTGENERALHOSPITAL-MATALE,4/27/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-A,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,"CLEANINGSOLUTION,ALK100ml(FORmINDRAYBS300)",5,735,3675,CON,DISTRICTGENERALHOSPITAL-MATALE,4/27/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-B,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,PRINTERPAPERROLL50MM,200,148,29600,CON,REGIONALDIRECTOROFHEALTHSERVICES-KANDY,4/27/2017,PCS,THERMALPAPER(PVT)LTD.,CAT_00138,HDU,MED-REGION04,MED_BM,GVT
2017-2018,SCAL3MLX10,1,12473.2087,12473.21,CON,SIRIMAVOBANDARANAYAKEPEADIATRICHOSPITAL-PERADENIYA,5/15/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION04,MED_BM,GVT
2017-2018,"PIPETTETIPS,2-200UL",500,3.2,1600,CON,UNIVERSITYOFSRIJAYAWARDENAPURA-MEDICINE,4/5/2017,PCS,LABBOXLABWARES.L.,TIPP-200-1K0,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,LEISHMAN’SSTAINPOWDER25G,2,1541,3082,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,GRM949-25G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"POTASSIUMFERROCYANIDETRIHYDRATE,PURE,500G",1,1765.2174,1765.22,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,GRM626-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,SABOURAUDDEXTROASEAGAR500G,1,6857.9,6857.9,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M063-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"MACCONKEYAGARW/OCV,NACLW/BILESALTS0.5%",2,6594,13188,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M082A-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,BLOODAGARBASENO2500G,2,6857.9,13715.8,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,4/26/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M834-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,TRIGLYCERIDES(GPO)10*100ML,3,93150.9,279452.7,CON,POLICEHEADQUARTERS-COLOMBO01,5/17/2017,PACK,BIOLABOSAS,87319,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,D-DIMER,1,72948.7,72948.7,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,5/23/2017,PCS,HELENABIOSCIENCESEUROPE,5250,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,MINICAPPROTEIN(E)6,2,99145.21,198290.42,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,5/23/2017,PCS,PARCTECHNOLOGIQUELEONARDDEVINCI(SEBIA),2203,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,SERUM/URINEPROTEINELECTROPHORESISIMMUNOTYPINGANDHBA1CANALYSIS.FULLYAUTOMATEDANALYZER,1,5890000,5890000,INS,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,PCS,PARCTECHNOLOGIQUELEONARDDEVINCI(SEBIA),1227,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,3KVAISOLATION,1,0,0,INS,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,PCS,SOMEKA,3KVA_ISOLATION,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,I5COMPUTERWITH19'MONITOR,1,0,0,INS,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,PCS,BASEHP(PVT)LTD,COMP_I5_19'_MONITOR,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,HPDESKJETCOLOURPRINTER,1,0,0,INS,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,PCS,BASEHP(PVT)LTD,HP_D3835,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,UPSONLINE3KVA,1,0,0,INS,TEACHINGHOSPITAL-COLOMBOSOUTH,5/25/2017,PCS,ASSIDUATECHNOLOGIES(PVT)LTD,UPS-3KVA-UPS,OTHER,MED-REGION09,MED_BD,GVT
2017-2018,NUTRIENTAGAR500G,2,6084.26,12168.52,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M001-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,NUTRIENTBROTH500G,2,5332.32,10664.64,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M002-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,XYLOSE-LYSINEDEOXYCHOLATEAGAR(XLDAGAR)500G,1,7367.63,7367.63,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M031-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,KLIGLERIRONAGAR500G,1,6749.45,6749.45,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M078-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"MACCONKEYAGARW/OCV,NACLW/BILESALTS0.5%",8,6594,52752,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M082A-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,MA-CONKEYAGAR(WITHCRYSTALVIOLET),1,6326.48,6326.48,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M1582-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,BRAINHEARTINFUSIONBROTH500G,1,6857.9,6857.9,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M210-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"DNASETESTAGARBASE,500G",1,15223.31,15223.31,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M482-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"BILESALTAGAR,100G",1,3297,3297,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M739-100G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,BLOODAGARBASENO2500G,8,6857.9,54863.2,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M834-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,"BILEESCULINAGAR,500G",1,17168,17168,CON,SRIJAYAWARDENAPURAGENERALHOSPITAL-NUGEGODA,6/14/2017,PCS,HIMEDIALABORATORIESPVT.LTD.,M972-500G,MICROBIOLOGY,MED-REGION09,MED_BD,GVT
2017-2018,AMYLASE(IFCC)8*5ML,1,10878.88,10878.88,CON,UNIVERSITYOFSRIJAYAWARDENAPURA-FAMILYPRACTICECENTER,6/14/2017,PACK,THERMOELECTRONOY,981770,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,CRP1x3ML,2,24669.75,49339.5,CON,UNIVERSITYOFSRIJAYAWARDENAPURA-FAMILYPRACTICECENTER,6/14/2017,PACK,THERMOELECTRONOY,981933,BIOCHEMISTRY,MED-REGION09,MED_BD,GVT
2017-2018,KF+NA2EDTAFOR2.5MLOFBLOODINTESTTUBE12X86,2000,6.6957,13391.4,CON,TEACHINGHOSPITAL-BATTICALOA,4/27/2017,PCS,VACUTESTKIMAS.R.L.,18506,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,SCAL3MLX10,3,11630,34890,CON,TEACHINGHOSPITAL-BATTICALOA,4/27/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,KF+NA2EDTAFOR2.5MLOFBLOODINTESTTUBE12X86,5000,6.6957,33478.5,CON,TEACHINGHOSPITAL-BATTICALOA,6/2/2017,PCS,VACUTESTKIMAS.R.L.,18506,BIOCHEMISTRY,MED-REGION06,MED_JS,GVT
2017-2018,CRP,1,39013.18,39013.18,CON,GENERALHOSPITAL-BADULLA,4/6/2017,PACK,THERMOELECTRONOY,981699,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,SCAL3MLX10,1,12472.47,12472.47,CON,GENERALHOSPITAL-BADULLA,4/6/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,ALT/GPT(IFCC)7x50ML,1,13483.92,13483.92,CON,GENERALHOSPITAL-BADULLA,4/7/2017,PACK,THERMOELECTRONOY,981361,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,AST/GOT(IFCC)*7x50ML,2,13483.92,26967.84,CON,GENERALHOSPITAL-BADULLA,4/7/2017,PACK,THERMOELECTRONOY,981363,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,CREATINIEN,3,8499.7,25499.1,CON,GENERALHOSPITAL-BADULLA,4/7/2017,PACK,THERMOELECTRONOY,981810,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,UREA10X60ML,2,20983.28,41966.56,CON,GENERALHOSPITAL-BADULLA,4/7/2017,PACK,THERMOELECTRONOY,981818,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,MAGNESIUM12*20ML,1,6030.61,6030.61,CON,GENERALHOSPITAL-BADULLA,4/7/2017,PACK,THERMOELECTRONOY,981884,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GENERALHOSPITAL-BADULLA,4/25/2017,PACK,THERMOELECTRONOY,981809,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GENERALHOSPITAL-BADULLA,4/25/2017,PACK,THERMOELECTRONOY,981809,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,CRP,1,39013.18,39013.18,CON,GENERALHOSPITAL-BADULLA,4/25/2017,PACK,THERMOELECTRONOY,981699,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,"CONDITIONER,NaELECTRODEAVL98X-91XX-100ML",7,4215.713,29509.99,CON,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,PCS,DIAMONDDIAGNOSTICSINC.,AV-BP0380D,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,SOLUTIONCLEANINGAAVL91XX-100ML,6,4215.713,25294.28,CON,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,PCS,DIAMONDDIAGNOSTICSINC.,AV-BP1025D,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,MICROALBUMINETURBIDIMETRICIMMUNOASSY,9,11431,102879,CON,DEPUTYPROVINCIALDIRECTOROFHEALTHSERVICES-MONARAGALA,4/27/2017,PACK,BIOLABOSAS,23010,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,SCAL3MLX10,2,12473.21,24946.42,CON,OFFICEOFREGIONALDIRECTOROFHEALTHSERVICES-BADULLA,4/27/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,AMYLASE(IFCC)12*20ML,1,45871.05,45871.05,CON,GENERALHOSPITAL-BADULLA,5/15/2017,PACK,THERMOELECTRONOY,981809,BIOCHEMISTRY,MED-REGION06,MED_RC,GVT
2017-2018,CALCIUM8x20ML,2,8937.2522,17874.5,CON,TEACHINGHOSPITAL-KARAPITIYA,4/4/2017,PACK,THERMOELECTRONOY,981772,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,SCAL3MLX10VL,1,11761.2696,11761.27,CON,TEACHINGHOSPITAL-KARAPITIYA,4/19/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,PHOSPHORUS6*18ML,1,7680.7474,7680.75,CON,TEACHINGHOSPITAL-KARAPITIYA,4/19/2017,PACK,THERMOELECTRONOY,981890,BIOCHEMISTRY,MED-REGION02,MED_DK,GVT
2017-2018,NOTROL-5MLX10VL,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981043,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,ABTROL5MLX10VL,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981044,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,ALT/GPT(IFCC)8*20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981769,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,AST/GOT(IFCC),2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981771,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,CALCIUM8x20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981772,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,URICACID(AOX)8x20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981788,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,CHOLESTEROL12X20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981813,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,UREA12x20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981820,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,ECAL3MLX5VL,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981830,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,SCAL3MLX10VL,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981831,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,ALP(IFCC)PLUS15x5ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981832,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,WASHFLUID8x20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981842,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,CREATININEENZYMATIC4X30ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981896,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,BILLIRUBINTOTAL(NBD)4x20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,981897,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,WASHINGSOLUTION4.5%_4X20ML,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PACK,THERMOELECTRONOY,984030,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,FULLYAUTOMATEDBIOCHEMISTRYANALYZER(INDIKOPLUSWITHPCCLINICALANDISESTRATUPKIT,2,3500000,7000000,INS,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PCS,THERMOELECTRONOY,98641000,BIOCHEMISTRY,MED-REGION05,MED_UJ,GVT
2017-2018,2000VA/1400WISOLATION,2,0,0,INS,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PCS,SOMEKA,ISL_2KVA-SOMEKA,OTHER,MED-REGION05,MED_UJ,GVT
2017-2018,2KVAONLINEUPS,2,0,0,CON,TEACHINGHOSPITAL-ANURADHAPURA,4/19/2017,PCS,ASSIDUATECHNOLOGIES(PVT)LTD,UPS_C2K,OTHER,MED-REGION05,MED_UJ,GVT
2017-2018,PRINTERDOTMATRIXLQ310,2,0,0,INS,TEACHINGHOSPITAL-ANURADHAPURA,5/23/2017,PCS,DEBUGCOMPUTERPERIPHERALS(PVT)LTD,PNT-LQ310-DEBUG,OTHER,MED-REGION05,MED_UJ,GVT
2017-2018,ASLOLATEX50TEST,39,28734.0348,1120627.36,CON,PROVINCIALDIRECTOROFHEALTHSERVICES-KURUNEGALA,4/25/2017,PACK,BIOLABOSAS,81050,BIOCHEMISTRY,MED-REGION01,MED_AD,GVT
2017-2018,"CLEANINGSOLUTION,ACID100ML(formindray)BS300",2,735,1470,CON,EYEHOSPITAL-COLOMBO10,4/26/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-A,BIOCHEMISTRY,MED-REGION03,MED_KDGH,GVT
2017-2018,"CLEANINGSOLUTION,ALK100ml(FORmINDRAYBS300)",2,735,1470,CON,EYEHOSPITAL-COLOMBO10,4/26/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-B,BIOCHEMISTRY,MED-REGION03,MED_KDGH,GVT
2017-2018,"CLEANINGSOLUTION,ACID100ML(formindray)BS300",15,656.2523,9843.78,CON,NATIONALHOSPITALOFSRILANKA,4/26/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-A,BIOCHEMISTRY,MED-REGION10,MED_KDGH,GVT
2017-2018,"CLEANINGSOLUTION,ALK100ml(FORmINDRAYBS300)",15,656.2522,9843.78,CON,NATIONALHOSPITALOFSRILANKA,4/26/2017,PCS,LOCALPURCHASE-MR.WEERAWARNE,G010-B,BIOCHEMISTRY,MED-REGION10,MED_KDGH,GVT
2017-2018,VIDASFT460TEST(PREVIOUSCATNO-30401),2,31227.6,62455.2,CON,GENERALHOSPITAL-HAMBANTOTA,5/17/2017,PACK,BIOMERIEUXSA,30459,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASANTI-HCV60TESTS,1,113231.81,113231.81,CON,TEACHINGHOSPITAL-KARAPITIYA,5/22/2017,PACK,BIOMERIEUXSA,30308,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASANTI-HBCTOTALII,1,94584.56,94584.56,CON,TEACHINGHOSPITAL-KARAPITIYA,5/22/2017,PACK,BIOMERIEUXSA,30314,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASANTIHBSTOTALII60T,1,70875.41,70875.41,CON,TEACHINGHOSPITAL-KARAPITIYA,5/22/2017,PACK,BIOMERIEUXSA,30318,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASTSH360TEST,5,31227.6,156138,CON,GENERALHOSPITAL-HAMBANTOTA,5/29/2017,PACK,BIOMERIEUXSA,30441,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASFT460TEST(PREVIOUSCATNO-30401),2,31227.6,62455.2,CON,GENERALHOSPITAL-HAMBANTOTA,5/29/2017,PACK,BIOMERIEUXSA,30459,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASFT460TEST(PREVIOUSCATNO-30401),1,31227.6,31227.6,CON,GENERALHOSPITAL-HAMBANTOTA,6/6/2017,PACK,BIOMERIEUXSA,30459,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASFT360TEST,5,31227.6,156138,CON,GENERALHOSPITAL-MATARA,6/12/2017,PACK,BIOMERIEUXSA,30402,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASFT460TEST(PREVIOUSCATNO-30401),3,31227.6,93682.8,CON,GENERALHOSPITAL-MATARA,6/12/2017,PACK,BIOMERIEUXSA,30459,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASAnti-TPO,5,28974.83,144874.15,CON,GENERALHOSPITAL-MATARA,6/12/2017,PCS,BIOMERIEUXSA,30461,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,VIDASANTI-HCV60TESTS,1,113231.81,113231.81,CON,TEACHINGHOSPITAL-KARAPITIYA,6/12/2017,PACK,BIOMERIEUXSA,30308,IMMUNOLOGY,MED-REGION02,MED_DK,GVT
2017-2018,"ORGANIZEDWORKSTATIONFORTHEGROSSEXAMINATION&SECTIONING(GROSSLABSTANDALONE,EXTERNAL)",1,7990000,7990000,INS,GENERALHOSPITAL-MATARA,4/4/2017,PCS,RICHARD-ALLANSCIENTIFICCO.,9600422,HISTOPATHOLOGY,MED-REGION02,MED_MD,GVT
